Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue,Twitter ID
Beiersdorf,23.748,8.533,0.859,10.236,960,Consumer Staples,Household/Personal Care,Europe,Germany,Germany,Stefan de Loecker,http://www.forbes.com/companies/beiersdorf/,0.0839194998046112,0.100667994843549,@Beiersdorf_AG
TUI,6.481,23.242,0.825,16.348,992,Consumer Discretionary,Business & Personal Services,Europe,Germany,Germany,Friedrich Joussen,http://www.forbes.com/companies/tui/,0.0504648886713971,0.0354960846742965,@TUIGroup
Schaeffler,6.345,16.801,1.039,14.613,1026,Consumer Discretionary,Auto & Truck Parts,Europe,Germany,Germany,Klaus Rosenfeld,http://www.forbes.com/companies/schaeffler/,0.0711010743858208,0.0618415570501756,@SchaefflerGroup
Knorr-Bremse,18.088,7.033,0.743,7.113,1113,,,Europe,Germany,Germany,Klaus Mangold,http://www.forbes.com/companies/knorr-bremse/,0.104456628707999,0.105644817289919,@Knorr_BremseUK
Metro Group,6.079,32.303,0.37,17.897,1252,Consumer Staples,Food Retail,Europe,Germany,Germany,Olaf Koch,http://www.forbes.com/companies/metro-group/,0.0206738559535118,0.0114540445159892,@METRO_News
Brenntag,8.375,14.806,0.544,8.906,1260,Materials,Specialized Chemicals,Europe,Germany,Germany,Steven Holland,http://www.forbes.com/companies/brenntag/,0.0610824163485291,0.0367418614075375,@Brenntag
Wuestenrot & Wuerttembergische,1.975,7.523,0.253,82.012,1312,Financials,Investment Services,Europe,Germany,Germany,Jürgen Junker,http://www.forbes.com/companies/wuestenrot-wuerttembergische/,0.00308491440277033,0.0336302007177987,@wundw
KION Group,8.061,9.433,0.472,14.825,1341,Industrials,Heavy Equipment,Europe,Germany,Germany,Gordon Riske,http://www.forbes.com/companies/kion-group/,0.0318381112984823,0.050037103784586,@KIONGroup
Ceconomy,2.165,25.537,-0.25,12.545,1522,Consumer Discretionary,Department Stores,Europe,Germany,Germany,Jörn Werner,http://www.forbes.com/companies/ceconomy/,-0.0199282582702272,-0.00978971688138779,No Twitter
HELLA,6.151,8.471,0.75,7.073,1536,Consumer Discretionary,Auto & Truck Parts,Europe,Germany,Germany,Rolf Breidenbach,http://www.forbes.com/companies/hella/,0.106037042273434,0.0885373627670877,No Twitter
MTU Aero Engines AG,11.913,5.388,0.527,8.216,1569,Industrials,Aerospace & Defense,Europe,Germany,Germany,Egon Behle,http://www.forbes.com/companies/mtu-aero-engines-ag/,0.064143135345667,0.0978099480326652,@MTUaeroeng
LEG Immobilien AG,7.378,0.89,0.995,12.93,1571,Financials,Real Estate,Europe,Germany,Germany,Thomas Hegel,http://www.forbes.com/companies/leg-immobilien-ag/,0.0769528228924981,1.11797752808989,@LEGwohnen
Deutsche Pfandbriefbank,1.861,2.193,0.211,66.039,1679,Financials,Regional Banks,Europe,Germany,Germany,Andreas Arndt,http://www.forbes.com/companies/deutsche-pfandbriefbank/,0.00319508169415043,0.0962152302781578,No Twitter
BayWa,1.081,19.614,0.038,8.587,1709,Consumer Discretionary,Specialty Stores,Europe,Germany,Germany,Klaus Lutz,http://www.forbes.com/companies/baywa/,0.00442529404914405,0.00193739165901907,@BayWaPresse
Wirecard,16.686,2.275,0.406,6.034,1751,Information Technology,Software & Programming,Europe,Germany,Germany,Markus Braun,http://www.forbes.com/companies/wirecard/,0.0672853828306265,0.178461538461538,@wirecard
Aareal Bank,2.082,1.419,0.245,48.798,1780,Financials,Thrifts & Mortgage Finance,Europe,Germany,Germany,Hermann Merkens,http://www.forbes.com/companies/aareal-bank/,0.00502069756957252,0.172656800563777,@aareal
Nuernberger Beteiligungs,0.922,5.137,0.069,35.064,1812,Financials,Diversified Insurance,Europe,Germany,Germany,Armin Zitzmann,http://www.forbes.com/companies/nuernberger-beteiligungs/,0.0019678302532512,0.0134319641814289,@nuernberger
Zalando,11.623,6.356,0.061,3.697,1842,Consumer Discretionary,Apparel/Footwear Retail,Europe,Germany,Germany,Robert Gentz,http://www.forbes.com/companies/zalando/,0.0164998647552069,0.00959723096286973,@Zalando
Fraport,7.558,4.104,0.559,13.289,1853,Industrials,Other Transportation,Europe,Germany,Germany,Stefan Schulte,http://www.forbes.com/companies/fraport/,0.0420648656783806,0.136208576998051,@Airport_FRA
Lanxess,5.633,9.374,0.402,10.283,1982,Materials,Diversified Chemicals,Europe,Germany,Germany,Matthias Zachert,http://www.forbes.com/companies/lanxess/,0.0390936497131187,0.0428845743545978,@LANXESS
National Bank of Greece,2.005,1.986,-0.096,74.413,1646,Financials,Regional Banks,Europe,Greece,Greece,Paul Mylonas,http://www.forbes.com/companies/national-bank-of-greece/,-0.0012900971604424,-0.0483383685800604,@NationalBankGR
Piraeus Bank,0.873,2.894,-0.186,70.738,1657,Financials,Regional Banks,Europe,Greece,Greece,Christos Megalou,http://www.forbes.com/companies/piraeus-bank/,-0.00262942124459272,-0.0642709053213545,@Piraeus_Bank
Alpha Bank,2.551,3.81,0.062,69.74,1666,Financials,Regional Banks,Europe,Greece,Greece,Vassilios Psaltis,http://www.forbes.com/companies/alpha-bank/,0.000889016346429596,0.0162729658792651,@Alpha_Bank
Eurobank Ergasias,1.818,2.188,0.178,66.284,1676,Financials,Regional Banks,Europe,Greece,Greece,Fokion Karavias,http://www.forbes.com/companies/eurobank-ergasias/,0.00268541427795546,0.0813528336380256,@Eurobank_Group
OTP Bank,11.95,4.378,1.177,51.992,868,Financials,Regional Banks,Europe,Hungary,Hungary,Sándor Csányi,http://www.forbes.com/companies/otp-bank/,0.0226380981689491,0.268844221105528,@OTPdirekt
MOL Hungarian Oil,7.381,19.117,1.114,16.433,886,Energy,Oil & Gas Operations,Europe,Hungary,Hungary,Zsolt Hernádi,http://www.forbes.com/companies/mol-hungarian-oil/,0.067790421712408,0.0582727415389444,@MOL_Group
Medtronic,112.952,30.555,4.919,88.73,150,Health Care,Medical Equipment & Supplies,Europe,Ireland,Ireland,Omar Ishrak,http://www.forbes.com/companies/medtronic/,0.0554378451482024,0.160988381606938,@Medtronic
Accenture,113.923,42.541,4.472,27.39,248,Information Technology,Computer Services,Europe,Ireland,Ireland,David P. Rowland,http://www.forbes.com/companies/accenture/,0.163271266885725,0.10512211748666,@Accenture
Johnson Controls International,33.542,29.429,2.287,48.016,299,Consumer Discretionary,Business & Personal Services,Europe,Ireland,Ireland,George Oliver,http://www.forbes.com/companies/johnson-controls-international/,0.0476299566811063,0.0777124604981481,@johnsoncontrols
Eaton,36.148,21.609,2.145,31.092,361,Industrials,Other Industrial Equipment,Europe,Ireland,Ireland,Craig Arnold,http://www.forbes.com/companies/eaton/,0.0689888074102663,0.099264195474108,@eatoncorp
CRH,28.25,31.619,1.131,40.208,385,Materials,Construction Materials,Europe,Ireland,Ireland,Albert Manifold,http://www.forbes.com/companies/crh/,0.0281287306008754,0.035769632183181,@CRH_Americas
Ingersoll Rand,27.314,15.668,1.338,17.915,585,Industrials,Conglomerates,Europe,Ireland,Ireland,Michael Lamach,http://www.forbes.com/companies/ingersoll-rand/,0.0746860173039353,0.0853969874904264,@IRProducts
Allergan,46.333,15.787,-5.096,101.788,595,Health Care,Pharmaceuticals,Europe,Ireland,Ireland,Brenton Saunders,http://www.forbes.com/companies/allergan/,-0.0500648406491924,-0.32279723823399,No Twitter
Aptiv,23.299,14.437,1.067,12.48,740,Consumer Discretionary,Auto & Truck Parts,Europe,Ireland,Ireland,Kevin Clark,http://www.forbes.com/companies/aptiv/,0.0854967948717949,0.0739073214656785,@Aptiv
AIB Group,12.958,3.763,1.245,104.639,770,Financials,Regional Banks,Europe,Ireland,Ireland,Colin Hunt,http://www.forbes.com/companies/aib-group/,0.0118980494844179,0.330853042785012,@AIBIreland
Ryanair Holdings,16.095,9.131,1.341,13.555,841,Industrials,Airline,Europe,Ireland,Ireland,Michael O'Leary,http://www.forbes.com/companies/ryanair-holdings/,0.0989302840280339,0.146862337093418,@Ryanair
Seagate Technology,14.102,11.344,1.676,8.789,867,Information Technology,Computer Storage Devices,Europe,Ireland,Ireland,William Mosley,http://www.forbes.com/companies/seagate-technology/,0.190692911594038,0.147743300423131,@Seagate
Bank of Ireland,7.189,5.882,0.731,141.372,956,Financials,Regional Banks,Europe,Ireland,Ireland,Francesca McDonagh,http://www.forbes.com/companies/bank-of-ireland/,0.00517075517075517,0.124277456647399,@bankofireland
Kerry Group,19.232,7.795,0.638,9.515,1101,Consumer Staples,Food Processing,Europe,Ireland,Ireland,Edmond Scanlon,http://www.forbes.com/companies/kerry-group/,0.0670520231213873,0.0818473380372033,@The_Kerry_Group
AerCap Holdings,7.05,4.747,1.016,43.209,1123,Industrials,Other Transportation,Europe,Ireland,Ireland,Aengus Kelly,http://www.forbes.com/companies/aercap-holdings/,0.0235136198477169,0.214029913629661,@AerCapNV
Experian,25.789,4.834,0.804,7.912,1209,Consumer Discretionary,Business & Personal Services,Europe,Ireland,Ireland,Brian Cassin,http://www.forbes.com/companies/experian/,0.101617795753286,0.166321886636326,@Experian
DCC,8.813,20.475,0.324,8.519,1414,Industrials,Conglomerates,Europe,Ireland,Ireland,Donal Murphy,http://www.forbes.com/companies/dcc/,0.0380326329381383,0.0158241758241758,@DCCIreland
Adient,2.423,17.393,-1.486,10.358,1760,Consumer Discretionary,Auto & Truck Parts,Europe,Ireland,Ireland,Douglas DelGrosso,http://www.forbes.com/companies/adient/,-0.143463989187102,-0.0854366699246823,@Adient
Smurfit Kappa Group,7.33,10.554,-0.762,10.852,1852,Materials,Paper & Paper Products,Europe,Ireland,Ireland,Anthony Smurfit,http://www.forbes.com/companies/smurfit-kappa-group/,-0.0702174714338371,-0.0722001137009665,@smurfitkappa
Enel,63.137,86.28,5.65,189.104,77,Utilities,Electric Utilities,Europe,Italy,Italy,Francesco Starace,http://www.forbes.com/companies/enel/,0.0298777392334377,0.0654844691701437,@EnelGroup
Eni,62.483,89.437,4.986,139.529,91,Energy,Oil & Gas Operations,Europe,Italy,Italy,Claudio Descalzi,http://www.forbes.com/companies/eni/,0.0357345068050369,0.055748739336069,@eni
Intesa Sanpaolo,45.877,28.13,4.778,900.483,130,Financials,Regional Banks,Europe,Italy,Italy,Carlo Messina,http://www.forbes.com/companies/intesa-sanpaolo/,0.00530604131338404,0.169854248133665,@intesasanpaolo
Generali Group,30.075,92.107,2.724,588.527,144,Financials,Diversified Insurance,Europe,Italy,Italy,Philippe Donnet,http://www.forbes.com/companies/generali-group/,0.00462850472450712,0.0295742994560674,@GENERALI
UniCredit,32.042,31.08,4.482,950.493,156,Financials,Regional Banks,Europe,Italy,Italy,Jean Pierre Mustier,http://www.forbes.com/companies/unicredit/,0.00471544766768403,0.144208494208494,@UniCredit_PR
Poste Italiane,13.98,35.059,1.65,238.785,331,Financials,Life & Health Insurance,Europe,Italy,Italy,Matteo del Fante,http://www.forbes.com/companies/poste-italiane/,0.0069099817827753,0.0470635214923415,@PosteNews
Atlantia,21.067,6.873,0.965,91.242,610,Industrials,Other Transportation,Europe,Italy,Italy,Giovanni Castellucci,http://www.forbes.com/companies/atlantia/,0.0105762697003573,0.140404481303652,No Twitter
Unipol Gruppo,3.692,16.404,0.833,87.564,750,Financials,Diversified Insurance,Europe,Italy,Italy,Carlo Cimbri,http://www.forbes.com/companies/unipol-gruppo/,0.00951304188936093,0.0507802974884175,@UnipolSai
Telecom Italia,12.163,22.38,-1.639,75.534,759,Telecommunication Services,Telecommunications services,Europe,Italy,Italy,Luigi Gubitosi,http://www.forbes.com/companies/telecom-italia/,-0.0216988376095533,-0.0732350312779267,@TIM_Official
Mediobanca,9.384,3.521,1.03,84.414,912,Financials,Regional Banks,Europe,Italy,Italy,Alberto Nagel,http://www.forbes.com/companies/mediobanca/,0.0122017674793281,0.29253053109912,@mediobanca
Snam,16.508,2.932,1.133,25.861,931,Utilities,Electric Utilities,Europe,Italy,Italy,Marco Alverà,http://www.forbes.com/companies/snam/,0.04381114419396,0.386425648021828,@snam
Leonardo,6.861,14.44,0.6,29.172,980,Industrials,Aerospace & Defense,Europe,Italy,Italy,Alessandro Profumo,http://www.forbes.com/companies/leonardo/,0.0205676676264912,0.0415512465373961,@Leonardo_live
Terna,12.077,2.592,0.834,19.618,1167,Utilities,Electric Utilities,Europe,Italy,Italy,Luigi Ferraris,http://www.forbes.com/companies/terna/,0.0425119787949842,0.321759259259259,@TernaSpA
UBI Banca,3.602,5.59,0.502,143.244,1181,Financials,Regional Banks,Europe,Italy,Italy,Letizia Maria Arnaboldi Moratti,http://www.forbes.com/companies/ubi-banca/,0.00350450978749546,0.0898032200357782,No Twitter
Ferrari,25.179,4.035,0.926,5.546,1190,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Italy,Italy,Louis Camilleri,http://www.forbes.com/companies/ferrari/,0.166967183555716,0.229491945477076,@ScuderiaFerrari
Banco BPM,3.622,6.098,-0.07,183.435,1332,Financials,Regional Banks,Europe,Italy,Italy,Giuseppe Castagna,http://www.forbes.com/companies/banco-bpm/,-0.000381606563632895,-0.011479173499508,@BancoBPMSpa
BPER Banca,2.262,2.866,0.474,80.746,1384,Financials,Regional Banks,Europe,Italy,Italy,Alessandro Vandelli,http://www.forbes.com/companies/bper-banca/,0.00587025982711218,0.165387299371947,@GruppoBPER_PR
Cattolica Assicurazioni,1.609,7.148,0.126,39.052,1499,Financials,Diversified Insurance,Europe,Italy,Italy,Alberto Minali,http://www.forbes.com/companies/cattolica-assicurazioni/,0.00322646727440336,0.0176273083379966,@Cattolica_it
Banca MPS,1.733,4,0.329,149.159,1528,Financials,Regional Banks,Europe,Italy,Italy,Marco Morelli,http://www.forbes.com/companies/banca-mps/,0.00220569995776319,0.08225,@Banca_MPS
Pirelli,7.241,6.128,0.509,14.897,1609,Consumer Discretionary,Auto & Truck Parts,Europe,Italy,Italy,Marco Provera,http://www.forbes.com/companies/pirelli/,0.0341679532791837,0.0830613577023499,@Pirelli
FinecoBank,8.303,1.078,0.285,28.304,1715,Financials,Regional Banks,Europe,Italy,Italy,Alessandro Foti,http://www.forbes.com/companies/finecobank/,0.0100692481628038,0.264378478664193,@FinecoLive
Banca Mediolanum,5.53,3.883,0.302,54.084,1729,Financials,Life & Health Insurance,Europe,Italy,Italy,Massimo Doris,http://www.forbes.com/companies/banca-mediolanum/,0.00558390651579025,0.0777749163018285,@BancaMediolanum
Credito Emiliano,1.937,2.27,0.22,49.348,1776,Financials,Regional Banks,Europe,Italy,Italy,Nazzareno Gregori,http://www.forbes.com/companies/credito-emiliano/,0.00445813406824998,0.0969162995594714,@credem
Banca Popolare di Sondrio,1.302,1.274,0.131,47.016,1796,Financials,Regional Banks,Europe,Italy,Italy,Mario Alberto Predanzini,http://www.forbes.com/companies/banca-popolare-di-sondrio/,0.00278628551982304,0.102825745682889,No Twitter
Saipem,5.228,10.059,-0.557,13.469,1875,Energy,Oil & Gas Operations,Europe,Italy,Italy,Stefano Cao,http://www.forbes.com/companies/saipem/,-0.0413542208033262,-0.0553732975444875,No Twitter
Prysmian,4.83,11.984,0.153,11.595,1904,Industrials,Electrical Equipment,Europe,Italy,Italy,Valerio Battista,http://www.forbes.com/companies/prysmian/,0.0131953428201811,0.0127670226969292,@PrysmianGroupFr
Saras,1.749,12.114,0.166,3.384,1985,Energy,Oil & Gas Operations,Europe,Italy,Italy,Dario Scaffardi,http://www.forbes.com/companies/saras/,0.0490543735224586,0.0137031533762589,No Twitter
ArcelorMittal,23.977,75.963,5.137,91.249,195,Materials,Iron & Steel,Europe,Luxembourg,Luxembourg,Lakshmi Mittal,http://www.forbes.com/companies/arcelormittal/,0.0562965073589848,0.0676250279741453,@ArcelorMittalF
Aroundtown,9.06,,1.912,21.766,570,Financials,Real Estate,Europe,Luxembourg,Luxembourg,Shmuel Mayo,http://www.forbes.com/companies/aroundtown/,0.0878434255260498,,No Twitter
Tenaris,17.309,7.666,0.876,14.251,955,Energy,Oil Services & Equipment,Europe,Luxembourg,Luxembourg,Paolo Rocca,http://www.forbes.com/companies/tenaris/,0.0614693705704863,0.114270806157057,@Tenaris
Ternium,5.263,11.547,1.5,12.546,1140,Materials,Iron & Steel,Europe,Luxembourg,Luxembourg,Máximo Vedoya,http://www.forbes.com/companies/ternium/,0.119560019129603,0.12990387113536,@Ternium
RTL Group,8.99,7.674,0.788,9.516,1329,Consumer Discretionary,Broadcasting & Cable,Europe,Luxembourg,Luxembourg,Thomas Rabe,http://www.forbes.com/companies/rtl-group/,0.0828079024800336,0.102684388845452,@rtlgroup
Spotify Technology,24.806,6.194,-0.0921,4.957,1494,Information Technology,Software & Programming,Europe,Luxembourg,Luxembourg,Daniel Ek,http://www.forbes.com/companies/spotify-technology/,-0.0185797861609845,-0.0148692282854375,@Spotify
CPI Property Group.,7.142,0.72,0.744,9.441,1923,Financials,Real Estate,Europe,Luxembourg,Luxembourg,Martin Nemecek,http://www.forbes.com/companies/cpi-property-group/,0.078805211312361,1.03333333333333,@CPIPG_SA
Royal Dutch Shell,264.939,382.626,23.329,399.194,9,Energy,Oil & Gas Operations,Europe,Netherlands,Netherlands,Bernardus Margriet van Beurden,http://www.forbes.com/companies/royal-dutch-shell/,0.058440257118093,0.0609707651858473,@Shell
ING Group,52.699,39.362,5.548,1014.008,89,Financials,Major Banks,Europe,Netherlands,Netherlands,Ralph Hamers,http://www.forbes.com/companies/ing-group/,0.00547135722795086,0.140948122554748,@ING_news
AIRBUS,104.873,75.158,3.603,131.689,96,Industrials,Aerospace & Defense,Europe,Netherlands,Netherlands,Guillaume Faury,http://www.forbes.com/companies/airbus/,0.0273599161661187,0.0479390084887836,@Airbus
Unilever,153.638,60.146,11.077,67.967,106,Consumer Staples,Household/Personal Care,Europe,Netherlands,Netherlands,Alan Jope,http://www.forbes.com/companies/unilever/,0.162976150190534,0.184168523260067,@Unilever
EXOR,15.884,169.051,1.589,190.077,273,Financials,Investment Services,Europe,Netherlands,Netherlands,John Elkann,http://www.forbes.com/companies/exor/,0.00835976998795225,0.00939953031925277,@ExorOfficial
Royal Ahold Delhaize N.V.,28.001,74.078,2.115,38.102,302,Consumer Staples,Food Retail,Europe,Netherlands,Netherlands,Frans Muller,http://www.forbes.com/companies/royal-ahold-delhaize/,0.0555088971707522,0.0285509867976997,@AholdDelhaize
Heineken,28.319,26.51,1.134,49.844,368,Consumer Staples,Beverages,Europe,Netherlands,Netherlands,Jean-François van Boxmeer,http://www.forbes.com/companies/heineken/,0.0227509830671696,0.0427763108261034,@Heineken
NN Group,14.16,22.433,1.285,255.192,370,Financials,Life & Health Insurance,Europe,Netherlands,Netherlands,Eilard Friese,http://www.forbes.com/companies/nn-group/,0.00503542430797204,0.0572816832345206,@NN_Group
ASML Holding,85.551,12.911,2.979,24.779,393,Information Technology,Semiconductors,Europe,Netherlands,Netherlands,Peter Wennink,http://www.forbes.com/companies/asml-holding/,0.120222769280439,0.230733483076446,@ASMLcompany
Philips,36.314,21.379,1.287,29.744,432,Industrials,Conglomerates,Europe,Netherlands,Netherlands,Frans van Houten,http://www.forbes.com/companies/philips/,0.0432692307692308,0.0601992609570139,@Philips
Aegon,10.748,30.872,0.838,425.396,460,Financials,Diversified Insurance,Europe,Netherlands,Netherlands,Alexander Wynaendts,http://www.forbes.com/companies/aegon/,0.00196992919538501,0.027144337911376,@Aegon
NXP Semiconductors,33.064,9.407,2.208,21.53,577,Information Technology,Semiconductors,Europe,Netherlands,Netherlands,Richard Clemmer,http://www.forbes.com/companies/nxp-semiconductors/,0.102554575011612,0.234718826405868,@NXP
Unibail-Rodamco,40.261,3.225,1.216,73.764,638,Financials,Real Estate,Europe,Netherlands,Netherlands,Christophe Cuvillier,http://www.forbes.com/companies/unibail-rodamco/,0.0164850062361043,0.377054263565891,No Twitter
Akzo Nobel,20.18,10.92,1.018,21.766,688,Materials,Diversified Chemicals,Europe,Netherlands,Netherlands,Thierry Vanlancker,http://www.forbes.com/companies/akzo-nobel/,0.0467701920426353,0.0932234432234432,@AkzoNobel
DSM,20.273,10.933,1.271,15.756,731,Health Care,Healthcare Services,Europe,Netherlands,Netherlands,Feike Sijbesma,http://www.forbes.com/companies/dsm/,0.0806676821528307,0.116253544315375,@DSM
Steinhoff International,0.544,14.604,1.276,24.398,891,Consumer Discretionary,Furniture & Fixtures,Europe,Netherlands,Netherlands,Louis du Preez,http://www.forbes.com/companies/steinhoff-international/,0.0522993688007214,0.0873733223774309,@Conforama
Randstad Holding,10.131,28.092,0.831,11.361,909,Consumer Discretionary,Business & Personal Services,Europe,Netherlands,Netherlands,Jacques van den Broek,http://www.forbes.com/companies/randstad-holding/,0.0731449696329548,0.0295813754805639,@Randstad
Asr Nederland,6.327,6.893,0.726,66.783,1022,Financials,Diversified Insurance,Europe,Netherlands,Netherlands,Jos Baeten,http://www.forbes.com/companies/asr-nederland/,0.0108710300525583,0.105324241984622,@asr
Altice Europe,3.405,16.818,-0.393,51.82,1095,Consumer Discretionary,Broadcasting & Cable,Europe,Netherlands,Netherlands,Alain Weill,http://www.forbes.com/companies/altice-europe/,-0.0075839444230027,-0.0233678201926507,No Twitter
Wolters Kluwer,19.055,5.026,0.775,9.769,1272,Consumer Discretionary,Printing & Publishing,Europe,Netherlands,Netherlands,Nancy McKinstry,http://www.forbes.com/companies/wolters-kluwer/,0.0793325826594329,0.154198169518504,@Wolters_Kluwer
X5 Retail Group,7.471,24.423,0.456,8.933,1288,Consumer Staples,Food Retail,Europe,Netherlands,Netherlands,Igor Shekhterman,http://www.forbes.com/companies/x5-retail-group/,0.0510466808463002,0.0186709249477951,@X5_RetailGroup
Yandex NV,12.125,2.025,0.759,3.504,1495,Information Technology,Computer Services,Europe,Netherlands,Netherlands,Arkady Volozh,http://www.forbes.com/companies/yandex/,0.216609589041096,0.374814814814815,@yandexcom
KPN,13.076,6.646,0.319,13.92,1521,Telecommunication Services,Telecommunications services,Europe,Netherlands,Netherlands,Maximo Ibarra,http://www.forbes.com/companies/kpn/,0.0229166666666667,0.0479987962684321,@KPN
Adyen,22.237,1.95,0.155,2.127,1792,,,Europe,Netherlands,Netherlands,Pieter van der Does,http://www.forbes.com/companies/adyen/,0.072872590503056,0.0794871794871795,@Adyen
VEON,4.128,9.067,-0.693,14.097,1904,Telecommunication Services,Telecommunications services,Europe,Netherlands,Netherlands,Ursula Burns,http://www.forbes.com/companies/veon/,-0.0491593956160885,-0.0764310135656777,@VEONGroup
Equinor,77.551,77.862,7.619,112.508,82,Energy,Oil & Gas Operations,Europe,Norway,Norway,Eldar Sætre,http://www.forbes.com/companies/equinor/,0.0677196288263946,0.0978526110297706,@Equinor
DNB,31.588,9.185,2.865,304.291,337,Financials,Major Banks,Europe,Norway,Norway,Rune Bjerke,http://www.forbes.com/companies/dnb/,0.00941532940507606,0.311921611322809,@DNB_Bank
Telenor,29,13.558,1.383,22.089,555,Telecommunication Services,Telecommunications services,Europe,Norway,Norway,Sigve Brekke,http://www.forbes.com/companies/telenor/,0.0626103490425099,0.102006195604071,@TelenorGroup
Norsk Hydro,9.375,19.581,0.542,18.692,932,Materials,Aluminum,Europe,Norway,Norway,Svein Brandtzæg,http://www.forbes.com/companies/norsk-hydro/,0.0289963620800342,0.0276798937745774,@NorskHydroASA
Yara International,11.923,12.949,0.165,16.656,1184,Materials,Specialized Chemicals,Europe,Norway,Norway,Svein Holsether,http://www.forbes.com/companies/yara-international/,0.00990634005763689,0.0127422967024481,@yara
Storebrand,4.012,6.386,0.453,66.682,1258,Financials,Diversified Insurance,Europe,Norway,Norway,Odd Grefstad,http://www.forbes.com/companies/storebrand/,0.00679343750937284,0.0709364234262449,No Twitter
Mowi ASA,11.375,4.501,0.669,5.882,1568,Consumer Staples,Food Processing,Europe,Norway,Norway,Alf-Helge Aarskog,http://www.forbes.com/companies/mowi-asa/,0.113736824209453,0.148633636969562,@MowiScotlandLtd
Gjensidige Forsikring,9.365,3.459,0.457,17.997,1599,Financials,Property & Casualty Insurance,Europe,Norway,Norway,Helge Baastad,http://www.forbes.com/companies/gjensidige-forsikring/,0.0253931210757348,0.13211910956924,@Gjensidige
PKN Orlen,11.364,30.362,1.565,17.074,650,Energy,Oil & Gas Operations,Europe,Poland,Poland,Daniel Obajtek,http://www.forbes.com/companies/pkn-orlen/,0.091659833665222,0.0515446940254265,@PKN_ORLEN
Grupa PZU,9.649,10.397,0.888,87.054,684,Financials,Property & Casualty Insurance,Europe,Poland,Poland,Pawel Surowka,http://www.forbes.com/companies/grupa-pzu/,0.0102005651664484,0.0854092526690391,@GrupaPZU
PKO Bank Polski,12.881,4.66,1.035,86.313,812,Financials,Regional Banks,Europe,Poland,Poland,Zbigniew Jagie??o,http://www.forbes.com/companies/pko-bank-polski/,0.0119912411803552,0.222103004291845,@PKOBP
Pgnig Group,9.19,11.412,0.889,14.18,1009,Energy,Oil & Gas Operations,Europe,Poland,Poland,Piotr Wozniak,http://www.forbes.com/companies/pgnig-group/,0.0626939351198872,0.077900455660708,@GK_PGNiG
Bank Pekao,8.06,2.589,0.633,50.866,1172,Financials,Regional Banks,Europe,Poland,Poland,Micha? Krupi?ski,http://www.forbes.com/companies/bank-pekao/,0.0124444619195533,0.24449594438007,@BankPekaoSA
PGE Polska Grupa Energetyczna,4.71,7.181,0.415,20.205,1619,Utilities,Electric Utilities,Europe,Poland,Poland,Henryk MBA,http://www.forbes.com/companies/pge-polska-grupa-energetyczna/,0.0205394704281119,0.0577913939562735,@Grupa_PGE
Grupa LOTOS,4.075,8.336,0.439,5.916,1990,Energy,Oil & Gas Operations,Europe,Poland,Poland,Mateusz Bonca,http://www.forbes.com/companies/grupa-lotos/,0.0742055442866802,0.0526631477927063,@GrupaLOTOS
Edp-energias De Portugal,14.074,18.024,0.613,47.586,633,Utilities,Electric Utilities,Europe,Portugal,Portugal,António Luís Mexia,http://www.forbes.com/companies/edp-energias-de-portugal/,0.0128819400664061,0.0340102086107412,No Twitter
Galp Energia,13.435,20.27,0.874,14.503,778,Energy,Oil & Gas Operations,Europe,Portugal,Portugal,Carlos Gomes da Silva,http://www.forbes.com/companies/galp-energia/,0.0602633937805971,0.0431179082387765,@GalpPress
Jeronimo Martins,9.927,20.453,0.473,7.613,1167,Consumer Staples,Food Retail,Europe,Portugal,Portugal,Pedro de Castro Soares dos Santos,http://www.forbes.com/companies/jeronimo-martins/,0.0621305661368711,0.0231261917567105,No Twitter
Banco Comercial Portugues,4.234,3.199,0.353,86.791,1583,Financials,Regional Banks,Europe,Portugal,Portugal,Miguel Dias Pinheiro,http://www.forbes.com/companies/banco-comercial-portugues/,0.00406724199513774,0.110346983432323,@Millenniumbcp
Santander,84.077,89.455,9.214,1668.166,30,Financials,Major Banks,Europe,Spain,Spain,José Antonio Álvarez,http://www.forbes.com/companies/santander/,0.00552343112136322,0.103001509138673,@bancosantander
BBVA-Banco Bilbao Vizcaya,41.641,28.305,5.535,773.557,135,Financials,Regional Banks,Europe,Spain,Spain,Cristina De Parias,http://www.forbes.com/companies/bbva-banco-bilbao-vizcaya/,0.00715525811284753,0.195548489666137,@bbva
Telefónica,43.277,57.749,3.72,130.373,141,Telecommunication Services,Telecommunications services,Europe,Spain,Spain,José María López,http://www.forbes.com/companies/telefonica/,0.028533515375116,0.0644166998562746,@Telefonica
Iberdrola,55.653,41.381,3.556,129.219,145,Utilities,Electric Utilities,Europe,Spain,Spain,José Sánchez,http://www.forbes.com/companies/iberdrola/,0.0275191728770537,0.0859331577293927,@iberdrola
Repsol,25.996,58.838,2.745,69.478,236,Energy,Oil & Gas Operations,Europe,Spain,Spain,Josu Imaz San Miguel,http://www.forbes.com/companies/repsol/,0.0395089092950286,0.0466535232332846,@Repsol
